"Date","Open","High","Low","Close","Volume"
"04/16/2024","156.742","158.19","153.75","157.11","96,999,960"
"04/15/2024","170.24","170.69","161.38","161.48","100,245,300"
"04/12/2024","172.34","173.8099","170.3644","171.05","64,722,670"
"04/11/2024","172.55","175.88","168.51","174.6","94,515,990"
"04/10/2024","173.04","174.93","170.01","171.76","84,532,410"
"04/09/2024","172.91","179.22","171.92","176.88","103,232,700"
"04/08/2024","169.34","174.5","167.79","172.98","104,423,300"
"04/05/2024","169.08","170.86","160.51","164.9","143,157,600"
"04/04/2024","170.07","177.19","168.01","171.11","123,162,000"
"04/03/2024","164.02","168.82","163.28","168.38","82,950,140"
"04/02/2024","164.75","167.69","163.43","166.63","116,650,600"
"04/01/2024","176.17","176.75","170.21","175.22","81,562,130"
"03/28/2024","177.45","179.57","175.3","175.79","77,654,840"
"03/27/2024","181.41","181.91","176","179.83","81,804,040"
"03/26/2024","178.58","184.25","177.38","177.67","113,186,200"
"03/25/2024","168.76","175.24","168.73","172.63","74,228,620"
"03/22/2024","166.69","171.2","166.3","170.83","75,580,640"
"03/21/2024","176.39","178.18","171.8","172.82","73,178,010"
"03/20/2024","173","176.25","170.82","175.66","83,846,730"
"03/19/2024","172.36","172.82","167.42","171.32","77,271,430"
"03/18/2024","170.02","174.72","165.9","173.8","108,214,400"
"03/15/2024","163.16","165.1845","160.76","163.57","97,146,830"
"03/14/2024","167.77","171.17","160.51","162.5","126,325,700"
"03/13/2024","173.05","176.05","169.15","169.48","106,524,500"
"03/12/2024","177.77","179.43","172.4101","177.54","87,391,680"
"03/11/2024","175.445","182.87","174.8","177.77","85,391,530"
"03/08/2024","181.5","182.73","174.7","175.34","85,544,640"
"03/07/2024","174.35","180.04","173.7","178.65","102,129,000"
"03/06/2024","179.99","181.576","173.7","176.54","107,920,900"
"03/05/2024","183.05","184.59","177.57","180.74","119,660,800"
"03/04/2024","198.73","199.75","186.72","188.14","134,334,900"
