"series","o","h","l","c","v"
"20171228T","20.7833","21.0547","20.636","21.024","64601158"
"20171229T","21.0787","21.094","20.6667","20.7567","56542532"
"20180102T","20.8","21.474","20.7333","21.3687","65184192"
"20180103T","21.4","21.6833","21.0367","21.15","66577767"
"20180104T","20.858","21.2367","20.3787","20.9747","149168820"
"20180105T","21.108","21.1493","20.8","21.1053","68830886"
"20180108T","21.0667","22.468","21.0333","22.4273","147489076"
"20180109T","22.344","22.5867","21.827","22.246","107017821"
"20180110T","22.1467","22.4667","22.0","22.32","64545763"
"20180111T","22.3493","22.9873","22.2173","22.53","99612895"
"20180112T","22.5753","22.694","22.2447","22.4147","72337599"
"20180116T","22.5027","23.0","22.32","22.6707","96438462"
"20180117T","22.698","23.2667","22.65","23.144","106388257"
"20180118T","23.0447","23.4867","22.916","22.9713","85194392"
"20180119T","23.0","23.3727","22.84","23.3347","73067678"
"20180122T","23.2933","23.8553","23.28","23.4373","92996609"
"20180123T","24.0","24.0333","23.4","23.5193","81714289"
"20180124T","23.6387","23.65","22.9013","23.0593","79160750"
"20180125T","23.218","23.28","22.4267","22.5093","100878070"
"20180126T","22.7667","22.9333","22.3807","22.8567","68031821"
"20180129T","22.6567","23.39","22.552","23.302","71073084"
"20180130T","23.0093","23.218","22.8113","23.0547","70660225"
"20180131T","23.1673","23.746","23.0127","23.6207","92990549"
"20180201T","23.4","23.9773","23.242","23.2833","62811569"
"20180202T","23.2293","23.4633","22.7007","22.9167","55442327"
"20180205T","22.5313","22.9647","22.2","22.2087","66617457"
"20180206T","21.6807","22.4147","21.5667","22.2647","76200442"
"20180207T","22.5993","23.0667","22.3773","23.0","100945180"
"20180208T","22.8873","23.2413","20.9733","21.0153","154446223"
"20180209T","21.3287","21.399","19.6507","20.6947","193866353"
"20180212T","21.0753","21.2053","20.4167","21.0487","93367138"
"20180213T","21.0013","21.6127","20.834","21.5773","68319431"
"20180214T","21.3893","21.7447","21.2347","21.4873","59221125"
"20180215T","21.6333","22.2747","21.4933","22.271","88647301"
"20180216T","22.1667","22.8747","22.1093","22.366","84602718"
"20180220T","22.298","22.7227","22.1","22.318","60089400"
"20180221T","22.402","22.6462","22.2113","22.22","48108726"
"20180222T","22.3687","23.1627","22.3167","23.078","104428148"
"20180223T","23.1887","23.666","23.14","23.47","87212611"
"20180226T","23.5667","23.9333","23.4903","23.828","65017467"
"20180227T","23.75","23.9993","23.334","23.3993","71775294"
"20180228T","23.5047","23.6827","22.8147","22.8707","90990615"
"20180301T","23.0007","23.2447","22.0047","22.062","103088228"
"20180302T","21.7987","22.348","21.5313","22.3413","76331797"
"20180305T","22.1593","22.5167","21.9529","22.2233","57310501"
"20180306T","22.25","22.4247","21.802","21.88","63547213"
"20180307T","21.696","22.1667","21.4493","22.1533","75029062"
"20180308T","22.1907","22.22","21.7516","21.94","52715479"
"20180309T","21.6067","21.8993","21.4913","21.8113","82541644"
"20180312T","21.9073","23.1473","21.7667","23.034","123793723"
"20180313T","22.9947","23.008","22.4176","22.7893","89409495"
"20180314T","22.4507","22.654","21.5953","21.7753","119282220"
"20180315T","21.9587","22.19","21.4067","21.7067","98318471"
"20180316T","21.7307","21.8267","21.2713","21.4233","91700429"
"20180319T","21.1","21.3833","20.6447","20.904","112018294"
"20180320T","20.9913","21.0833","20.584","20.7033","71415429"
"20180321T","20.6833","21.496","20.6793","21.102","89313660"
"20180322T","20.926","21.2547","20.5453","20.6067","73873883"
"20180323T","20.75","20.774","20.03","20.1027","99599350"
"20180326T","20.4893","20.506","19.424","20.2787","125473992"
"20180327T","20.2667","20.2847","18.4787","18.612","206805797"
"20180328T","17.6387","17.912","16.8067","17.1853","314434043"
"20180329T","17.0993","18.064","16.5473","17.742","225216487"
"20180402T","17.084","17.3555","16.306","16.832","241399229"
"20180403T","17.988","18.2233","16.966","17.8353","282444609"
"20180404T","16.852","19.2247","16.8","19.1293","298202551"
"20180405T","19.2893","20.4173","19.2133","20.3813","285387757"
"20180406T","20.0667","20.6187","19.7","19.9533","202747849"
"20180409T","20.0247","20.6333","19.2807","19.3107","153621073"
"20180410T","19.9313","20.4733","19.5787","20.3133","165255067"
"20180411T","20.0493","20.5987","19.9773","20.062","112053004"
"20180412T","20.1547","20.2633","19.5787","19.6053","113932818"
"20180413T","20.24","20.2633","19.732","20.0227","109788320"
"20180416T","19.9333","19.9773","19.2673","19.414","94342408"
"20180417T","19.258","19.478","18.834","19.1793","103967228"
"20180418T","19.4053","20.016","19.2107","19.5567","97973396"
"20180419T","19.4053","20.0673","19.2367","20.0053","91256954"
"20180420T","19.678","19.9987","19.3167","19.3493","84339408"
"20180423T","19.4193","19.4413","18.822","18.8913","73211108"
"20180424T","19.0","19.1393","18.564","18.8973","85173587"
"20180425T","18.9","19.0107","18.4833","18.7127","60006285"
"20180426T","18.5833","19.0527","18.4333","19.032","65221587"
"20180427T","19.0247","19.6313","18.922","19.605","65202777"
"20180430T","19.574","19.9153","19.5","19.5933","63360988"
"20180501T","19.5673","20.0547","19.548","19.9947","69224155"
"20180502T","19.9047","20.4567","19.8523","20.0767","125192577"
"20180503T","18.586","19.2027","18.3487","18.9633","260086220"
"20180504T","18.8667","19.7907","18.6347","19.606","128482526"
"20180507T","19.8333","20.3973","19.678","20.1847","130096285"
"20180508T","20.053","20.5167","19.9333","20.1313","88911661"
"20180509T","20.0273","20.4673","20.0033","20.4567","85683782"
"20180510T","20.5","20.866","20.2741","20.3347","84641523"
"20180511T","20.5133","20.592","19.9387","20.0707","69979780"
"20180514T","20.2213","20.3293","19.4413","19.4647","108982461"
"20180515T","19.0007","19.1307","18.7","18.9453","142646224"
"20180516T","18.922","19.254","18.7707","19.0987","85044617"
"20180517T","19.06","19.2792","18.9313","18.9693","66273837"
"20180518T","18.9767","18.9767","18.2667","18.4547","108655431"
"20180521T","18.7553","19.4327","18.7533","18.966","137517591"
"20180522T","19.1841","19.2","18.2281","18.334","134077448"
"20180523T","18.5173","18.6607","18.2667","18.6047","89583510"
"20180524T","18.56","18.7407","18.326","18.5233","62561804"
"20180525T","18.5083","18.6427","18.374","18.59","58089286"
"20180529T","18.5673","19.1","18.41","18.9173","84857253"
"20180530T","18.886","19.667","18.7733","19.448","112103794"
"20180531T","19.1473","19.358","18.862","18.982","88692331"
"20180601T","19.0573","19.4633","18.9226","19.4547","81269719"
"20180604T","19.6227","19.9333","19.5699","19.7827","71906769"
"20180605T","19.8467","19.8533","19.116","19.4087","88168051"
"20180606T","20.0333","21.478","19.832","21.3","281135859"
"20180607T","21.0767","22.0","20.9053","21.0727","215041542"
"20180608T","21.2667","21.632","21.1433","21.1773","122882564"
"20180611T","21.5007","22.3107","21.5","22.14","197490651"
"20180612T","22.98","23.6647","22.5333","22.8513","333846283"
"20180613T","23.1137","23.1467","22.6533","22.9853","141021934"
"20180614T","23.1753","23.9167","23.1067","23.848","164417168"
"20180615T","23.5893","24.3113","23.4167","23.878","162413319"
"20180618T","23.6933","24.9153","23.6333","24.722","180381660"
"20180619T","24.344","24.6667","23.0833","23.5033","191022504"
"20180620T","23.8693","24.292","23.4667","24.148","125553957"
"20180621T","24.1333","24.4143","23.0847","23.1673","119247630"
"20180622T","23.436","23.4833","22.1333","22.242","153806473"
"20180625T","22.008","22.5647","21.8333","22.2007","103876283"
"20180626T","22.4036","22.9033","21.7199","22.8","111521179"
"20180627T","23.0","23.386","22.6333","22.9667","124707193"
"20180628T","23.244","23.8013","23.074","23.3287","125822517"
"20180629T","23.5553","23.5907","22.8273","22.8633","97138496"
"20180702T","24.0047","24.3187","21.99","22.338","280990510"
"20180703T","22.1167","22.166","20.646","20.724","184239508"
"20180705T","20.9173","20.9593","19.748","20.6107","261863419"
"20180706T","20.3303","20.8047","20.1333","20.5933","132902904"
"20180709T","20.7993","21.2347","20.5333","21.234","113693058"
"20180710T","21.6373","21.8452","21.28","21.498","141563284"
"20180711T","21.0533","21.4627","21.0047","21.264","73178888"
"20180712T","21.4287","21.5487","20.8513","21.114","85677722"
"20180713T","21.0387","21.3057","20.6167","21.258","88001596"
"20180716T","20.7807","21.0107","20.4167","20.6733","117006751"
"20180717T","20.5873","21.6493","20.5667","21.5127","104816678"
"20180718T","21.6667","21.7","21.0833","21.59","84151233"
"20180719T","21.0887","21.5693","20.934","21.3487","88606696"
"20180720T","21.4153","21.5493","20.7806","20.9053","77397426"
"20180723T","20.1227","20.3667","19.524","20.2133","164622218"
"20180724T","20.2947","20.5145","19.503","19.8287","143792718"
"20180725T","19.7827","20.6413","19.6335","20.5827","105470677"
"20180726T","20.3233","20.7133","20.2428","20.4433","69293470"
"20180727T","20.4833","20.5129","19.6894","19.812","85420307"
"20180730T","19.7267","19.74","19.0753","19.3447","101993664"
"20180731T","19.4833","19.888","19.2713","19.876","75826372"
"20180801T","19.866","20.2","19.5333","20.056","131521419"
"20180802T","21.896","23.3327","21.544","23.3027","347387226"
"20180803T","23.1873","23.6667","22.8353","23.2113","204699498"
"20180806T","23.0307","23.6653","22.788","22.7993","128051426"
"20180807T","22.9227","25.8307","22.61","25.3047","458945771"
"20180808T","24.606","25.5093","24.4747","24.6893","368031116"
"20180809T","24.37","24.4673","23.0487","23.4967","254276873"
"20180810T","23.6","24.0","23.0667","23.6993","172957564"
"20180813T","24.0753","24.2127","23.268","23.7607","156673722"
"20180814T","23.8967","23.9466","23.14","23.176","104227613"
"20180815T","22.7937","22.966","22.1427","22.5793","136095427"
"20180816T","22.6607","22.8187","22.2547","22.3633","90680835"
"20180817T","21.5667","21.7847","20.2353","20.3667","283438058"
"20180820T","19.4469","20.5667","19.2133","20.5627","260706320"
"20180821T","20.7073","21.6527","20.6","21.46","197216451"
"20180822T","21.3913","21.592","20.978","21.4427","89037750"
"20180823T","21.276","21.8213","21.2067","21.34","77080236"
"20180824T","21.38","21.59","21.2933","21.5213","53890983"
"20180827T","21.2","21.4957","20.5873","21.2847","195939652"
"20180828T","21.2273","21.2587","20.746","20.7907","114591738"
"20180829T","20.6847","20.79","20.246","20.334","111158014"
"20180830T","20.1507","20.3067","19.848","20.21","108159321"
"20180831T","20.1333","20.3539","19.9067","20.1107","80505680"
"20180904T","19.796","19.8793","19.2","19.2633","124568503"
"20180905T","19.0033","19.1187","18.4787","18.716","115610072"
"20180906T","18.9867","19.4113","18.592","18.73","112091284"
"20180907T","17.34","17.89","16.817","17.5493","336634482"
"20180910T","18.2173","19.0687","18.0667","19.0333","213483643"
"20180911T","18.6313","18.8","18.2367","18.6293","137415846"
"20180912T","18.7627","19.5","18.5764","19.3693","150032175"
"20180913T","19.2013","19.6667","19.012","19.2973","94999168"
"20180914T","19.2507","19.8217","19.1013","19.68","101364729"
"20180917T","19.336","20.058","19.2087","19.656","102993069"
"20180918T","19.7793","20.176","18.3667","18.9973","247414076"
"20180919T","18.7007","20.0","18.7","19.9347","123965233"
"20180920T","20.2373","20.3987","19.5553","19.8887","109987100"
"20180921T","19.8467","20.0387","19.6913","19.94","75577417"
"20180924T","19.8987","20.2","19.572","19.9787","72515724"
"20180925T","20.0","20.3067","19.7667","20.066","67084271"
"20180926T","20.1273","20.926","20.074","20.6387","117537886"
"20180927T","20.86","20.9973","20.4607","20.5013","110066345"
"20180928T","18.0173","18.5333","17.3703","17.6513","503959098"
"20181001T","20.3847","20.7627","20.07","20.7133","325712987"
"20181002T","20.93","21.1227","19.9433","20.068","175495262"
"20181003T","20.222","20.3067","19.438","19.6533","119734020"
"20181004T","19.5967","19.6","18.5113","18.7887","144583203"
"20181005T","18.31","18.3253","17.3333","17.4633","268510516"
"20181008T","17.6347","17.8507","16.6","16.704","200567600"
"20181009T","17.0167","17.7847","16.8867","17.52","180566610"
"20181010T","17.6407","17.7007","16.518","17.1253","191723304"
"20181011T","17.1687","17.4833","16.602","16.8153","121922699"
"20181012T","17.4","17.466","16.8007","17.252","107838801"
"20181015T","17.2707","17.552","16.9691","17.306","92835344"
"20181016T","17.7133","18.4917","17.4827","18.4393","142516729"
"20181017T","18.8267","18.8467","17.7202","18.1187","129554170"
"20181018T","17.9527","18.0667","17.5333","17.594","81028024"
"20181019T","17.826","17.9773","16.9","17.3333","140171390"
"20181022T","17.3787","17.4573","16.8393","17.3967","83922783"
"20181023T","17.5913","19.862","17.4733","19.6093","284343008"
"20181024T","20.07","20.296","19.0487","19.2333","290256605"
"20181025T","21.148","21.4","20.0673","20.9907","311574894"
"20181026T","20.55","22.66","20.4433","22.06","410703095"
"20181029T","22.498","23.144","21.7667","22.3233","216827142"
"20181030T","21.8927","22.5267","21.484","21.9933","136636732"
"20181031T","22.1693","22.8","21.94","22.488","114012543"
"20181101T","22.5507","23.1893","22.315","22.952","119714130"
"20181102T","22.916","23.28","22.7273","23.094","116998742"
"20181105T","22.7","22.9303","22.0093","22.76","117312616"
"20181106T","22.6047","23.2533","22.406","22.7373","101278899"
"20181107T","22.8893","23.412","22.72","23.2107","110500535"
"20181108T","23.2333","23.8384","23.2293","23.4267","106202992"
"20181109T","23.2667","23.6","23.0153","23.3673","76401802"
"20181112T","23.2247","23.3187","22.0227","22.0853","103754423"
"20181113T","22.2107","22.98","22.1467","22.582","81341299"
"20181114T","22.8467","23.1407","22.4767","22.9333","75481207"
"20181115T","22.822","23.2387","22.6027","23.2293","69001915"
"20181116T","23.0127","23.7133","23.008","23.6207","107916816"
"20181119T","23.756","24.45","23.5253","23.5647","145478312"
"20181120T","22.7833","23.32","22.2367","23.166","119868735"
"20181121T","23.4667","23.54","22.4933","22.546","70160800"
"20181123T","22.2897","22.5","21.7033","21.722","63039598"
"20181126T","21.6667","23.0813","21.6667","23.0667","119596725"
"20181127T","22.67","23.1307","22.3667","22.928","95205012"
"20181128T","23.066","23.2187","22.814","23.1913","61710539"
"20181129T","23.1333","23.1667","22.6367","22.7447","46140367"
"20181130T","22.7887","23.44","22.551","23.3653","84316518"
"20181203T","24.0","24.4","23.4667","23.8993","124437583"
"20181204T","23.7367","24.5787","23.4667","23.98","126453132"
"20181206T","23.734","24.492","23.384","24.204","117430276"
"20181207T","24.6","25.2993","23.8433","23.8643","172265164"
"20181210T","24.0","24.3987","23.5413","24.3433","98630066"
"20181211T","24.6607","24.8113","24.0153","24.4507","94477033"
"20181212T","24.628","24.794","24.344","24.44","75295837"
"20181213T","24.6767","25.1627","24.45","25.1193","110222465"
"20181214T","25.0","25.1913","24.2887","24.3807","94914328"
"20181217T","24.1333","24.38","22.9253","23.228","114972423"
"20181218T","23.3693","23.4367","22.246","22.4687","106273252"
"20181219T","22.5067","23.134","21.9827","22.198","123845548"
"20181220T","21.8036","22.0193","20.7913","21.0253","135740767"
"20181221T","21.16","21.5647","20.8293","21.318","119958225"
"20181224T","20.9","20.9667","19.6797","19.6927","83398653"
"20181226T","20.0","21.798","19.606","21.7393","122146469"
"20181227T","21.3227","21.4781","20.1","21.0753","128510711"
"20181228T","21.54","22.416","21.2273","22.258","148781581"
"20181231T","22.5193","22.614","21.684","22.1867","94414423"
"20190102T","20.4067","21.0087","19.92","20.6747","174168963"
"20190103T","20.4667","20.6267","19.8253","20.024","104228603"
"20190104T","20.4","21.2","20.182","21.1793","110741270"
"20190107T","21.448","22.4493","21.1834","22.3307","113135013"
"20190108T","22.7973","22.934","21.8013","22.3567","104916353"
"20190109T","22.3667","22.9002","22.098","22.5687","81399229"
"20190110T","22.2933","23.026","22.1193","22.998","90744270"
"20190111T","22.806","23.2273","22.5847","23.1507","75526132"
"20190114T","22.8253","22.8333","22.2667","22.2933","78490311"
"20190115T","22.3333","23.2533","22.3","22.962","90718305"
"20190116T","22.9853","23.4667","22.9","23.07","70158370"
"20190117T","23.0807","23.4333","22.9433","23.154","54917403"
"20190118T","21.5333","21.8087","19.982","20.1507","361188719"
"20190122T","20.3213","20.5333","19.7","19.928","180781860"
"20190123T","19.5","19.6333","18.7793","19.1727","187696106"
"20190124T","18.8687","19.5787","18.6189","19.434","119863605"
"20190125T","19.626","19.9013","19.3033","19.8027","106541662"
"20190128T","19.5273","19.8307","19.1833","19.7587","96142107"
"20190129T","19.6847","19.9038","19.4533","19.8307","69043960"
"20190130T","20.03","20.6","19.8993","20.5847","158910521"
"20190131T","20.0667","20.7709","19.6","20.468","188177756"
"20190201T","20.3613","21.0733","20.2333","20.814","108954216"
"20190204T","20.8653","21.02","20.1253","20.8593","110161085"
"20190205T","20.8327","21.496","20.8166","21.4233","101021034"
"20190206T","21.306","21.616","21.0416","21.148","75470482"
"20190207T","20.8867","20.98","20.2","20.5007","97677401"
"20190208T","20.4553","20.4963","19.9","20.3867","87526126"
"20190211T","20.7733","21.24","20.7","20.856","106710127"
"20190212T","21.08","21.2127","20.6413","20.7873","82281244"
"20190213T","20.8233","20.85","20.3713","20.5447","76955932"
"20190214T","20.2253","20.4513","20.0667","20.2513","77863266"
"20190215T","20.3","20.5333","20.26","20.5253","58437196"
"20190219T","20.4373","20.7696","20.3647","20.376","61807769"
"20190220T","20.294","20.42","19.9333","20.1707","106994482"
"20190221T","20.1207","20.216","19.3667","19.4153","133212383"
"20190222T","19.6327","19.7667","19.4733","19.6473","85970657"
"20190225T","19.8607","20.1936","19.8","19.918","93205468"
"20190226T","19.4813","20.134","19.2513","19.8573","128574071"
"20190227T","20.1187","21.0863","20.0367","20.9827","167161416"
"20190228T","21.2613","21.3333","20.7207","21.3253","144993288"
"20190301T","20.4627","20.4753","19.46","19.6527","342731079"
"20190304T","19.8747","19.9333","18.852","19.024","256033222"
"20190305T","18.8","18.9333","18.0067","18.436","280946860"
"20190306T","18.432","18.7671","18.2927","18.416","154790473"
"20190307T","18.5893","18.98","18.2833","18.4393","141160384"
"20190308T","18.4607","19.0393","18.3927","18.9427","132086514"
"20190311T","18.9013","19.4187","18.7","19.3947","110584415"
"20190312T","19.0993","19.2047","18.7373","18.8907","112320499"
"20190313T","18.9267","19.466","18.8467","19.264","102267759"
"20190314T","19.4967","19.6927","19.2193","19.3307","105722017"
"20190315T","18.9007","18.915","18.2933","18.362","221360289"
"20190318T","18.4","18.5367","17.82","17.966","153974323"
"20190319T","17.8333","18.22","17.564","17.8313","176614862"
"20190320T","17.9793","18.3313","17.7533","18.24","103229588"
"20190321T","18.1733","18.43","17.8967","18.268","88963831"
"20190322T","18.172","18.1867","17.6","17.6353","130829185"
"20190325T","17.314","17.5453","16.964","17.3613","153076123"
"20190326T","17.6293","18.0173","17.6287","17.8513","110127965"
"20190327T","17.9167","18.358","17.8789","18.322","131285694"
"20190328T","18.4773","18.6887","18.34","18.5747","101473764"
"20190329T","18.58","18.6773","18.3","18.6573","89705280"
"20190401T","18.8413","19.28","18.7521","19.2787","121396949"
"20190402T","19.22","19.296","18.9253","19.0587","81407719"
"20190403T","19.1547","19.7447","19.1447","19.454","118749691"
"20190404T","17.4593","18.08","17.3727","17.852","355202372"
"20190405T","17.9907","18.4067","17.7407","18.3307","195341002"
"20190408T","18.5127","18.744","18.0293","18.2133","155468922"
"20190409T","18.11","18.3333","17.974","18.154","88398661"
"20190410T","18.4493","18.5587","18.1928","18.404","105675457"
"20190411T","17.8867","18.0333","17.7067","17.8947","146719337"
"20190412T","18.0147","18.13","17.7887","17.8467","101030739"
"20190415T","17.9087","17.9253","17.242","17.7587","150487275"
"20190416T","17.7167","18.3333","17.648","18.224","108997506"
"20190417T","18.3167","18.3193","17.9023","18.082","76770127"
"20190418T","18.082","18.3227","17.9833","18.2173","87922126"
"20190422T","17.9333","17.9787","17.4987","17.5167","181525259"
"20190423T","17.3433","17.7067","17.05","17.5933","163640168"
"20190424T","17.59","17.688","17.2","17.244","144855843"
"20190425T","17.0","17.2667","16.4047","16.5087","327350536"
"20190426T","16.4333","16.4453","15.4087","15.676","332267234"
"20190429T","15.724","16.2653","15.478","16.098","250299175"
"20190430T","16.1373","16.2807","15.8","15.9127","141704404"
"20190501T","15.9233","16.0","15.4333","15.6007","160565170"
"20190502T","16.368","16.4753","15.848","16.2733","272389964"
"20190503T","16.2573","17.1073","16.2327","17.002","355601372"
"20190506T","16.668","17.2233","16.5667","17.0227","162509019"
"20190507T","17.12","17.1473","16.34","16.4707","151971074"
"20190508T","16.4627","16.7066","16.28","16.3227","92646554"
"20190509T","16.1333","16.2453","15.7962","16.132","100670680"
"20190510T","15.9833","16.1327","15.7347","15.968","105124987"
"20190513T","15.4673","15.498","14.9667","15.134","162521919"
"20190514T","15.2867","15.6333","15.2","15.4873","108786126"
"20190515T","15.288","15.496","15.0167","15.4633","109439585"
"20190516T","15.2993","15.4","15.1","15.222","112249039"
"20190517T","14.7973","14.816","13.928","14.0687","266799917"
"20190520T","13.52","13.7333","13.0167","13.6907","307892846"
"20190521T","13.184","13.8267","13.0693","13.672","270058365"
"20190522T","13.2733","13.596","12.7853","12.8487","280277710"
"20190523T","12.956","13.2977","12.4147","13.0327","398206901"
"20190524T","13.322","13.332","12.5834","12.7087","212048444"
"20190528T","12.7467","13.0","12.5233","12.58","154693423"
"20190529T","12.4733","12.826","12.336","12.6573","179529510"
"20190530T","12.5833","12.817","12.468","12.548","118897066"
"20190531T","12.34","12.6614","12.2733","12.344","156100872"
"20190603T","12.3673","12.4453","11.7995","11.9313","195966052"
"20190604T","12.0733","12.932","11.974","12.9067","207112696"
"20190605T","13.2453","13.4186","12.7899","13.106","202661299"
"20190606T","13.6293","14.0667","13.4533","13.73","303632098"
"20190607T","13.6667","14.0563","13.5666","13.6333","240052830"
"20190610T","14.0167","14.4627","13.934","14.192","158775521"
"20190611T","14.6096","14.7267","14.2333","14.4733","174803013"
"20190612T","14.8633","14.892","13.9333","13.9507","227962986"
"20190613T","14.0253","14.3267","13.834","14.2607","122523839"
"20190614T","14.0833","14.4433","14.0267","14.328","111500974"
"20190617T","14.3653","15.1333","14.2847","15.002","184751908"
"20190618T","15.248","15.6493","14.8373","14.9827","190736755"
"20190619T","15.0073","15.1847","14.7373","15.0953","98626976"
"20190620T","14.8667","15.1267","14.4233","14.6413","177951811"
"20190621T","14.4147","14.812","14.3667","14.7907","123031108"
"20190624T","14.8827","15.0573","14.7347","14.9093","86261522"
"20190625T","14.9593","15.0227","14.6327","14.6507","92731019"
"20190626T","14.6873","15.1487","14.54","14.618","127608056"
"20190627T","14.63","14.86","14.49","14.856","95095602"
"20190628T","14.7327","15.0113","14.72","14.8973","102770709"
"20190701T","15.3473","15.54","15.0853","15.1447","123569398"
"20190702T","15.2593","15.2767","14.8147","14.97","138885336"
"20190703T","15.9593","16.1047","15.634","15.66","213017143"
"20190705T","15.638","15.6967","15.3867","15.54","105986017"
"20190708T","15.416","15.4833","15.244","15.356","88208086"
"20190709T","15.2647","15.4","15.152","15.3373","92862479"
"20190710T","15.61","15.9293","15.5427","15.928","137185971"
"20190711T","15.876","16.1","15.72","15.9067","112716394"
"20190712T","15.9833","16.3587","15.9807","16.3387","138007746"
"20190715T","16.5333","16.9613","16.324","16.9","165001267"
"20190716T","16.62","16.902","16.5288","16.8253","122234774"
"20190717T","17.0447","17.2207","16.89","16.9907","146470832"
"20190718T","17.0033","17.05","16.7923","16.9027","71467209"
"20190719T","17.046","17.3307","16.9747","17.212","105726097"
"20190722T","17.25","17.477","16.9461","17.0453","102694044"
"20190723T","17.114","17.3653","16.9667","17.3447","75346777"
"20190724T","17.278","17.738","17.2107","17.6587","166092517"
"20190725T","15.5667","15.6333","15.0367","15.2547","336273582"
"20190726T","15.128","15.3507","14.8167","15.2027","150415425"
"20190729T","15.1393","15.7293","15.0688","15.718","139099895"
"20190730T","15.5267","16.224","15.4787","16.1507","121635149"
"20190731T","16.2","16.4453","15.7767","16.1073","137673051"
"20190801T","16.1767","16.3007","15.4513","15.59","123892678"
"20190802T","15.4233","15.7513","15.282","15.6227","92047169"
"20190805T","15.3067","15.4245","15.0517","15.2213","105424132"
"20190806T","15.4587","15.5","15.05","15.3833","83462958"
"20190807T","15.1","15.5713","15.0533","15.5613","71647464"
"20190808T","15.63","15.9867","15.51","15.8867","79115195"
"20190809T","15.7369","15.9307","15.5873","15.6673","58473631"
"20190812T","15.5327","15.718","15.25","15.2673","69959020"
"20190813T","15.254","15.7333","15.17","15.6667","73034933"
"20190814T","15.414","15.4333","14.446","14.6413","143438793"
"20190815T","14.724","14.7707","14.1033","14.376","123479218"
"20190816T","14.444","14.816","14.4013","14.6627","78110601"
"20190819T","14.9473","15.1887","14.78","15.122","79676180"
"20190820T","15.1747","15.2727","14.9693","15.0573","62557874"
"20190821T","14.8007","14.8813","14.5067","14.722","116996102"
"20190822T","14.8533","15.0267","14.548","14.81","98474411"
"20190823T","14.6647","14.7447","14.0667","14.0933","128395496"
"20190826T","14.24","14.3347","14.1027","14.3333","75816172"
"20190827T","14.3827","14.5867","14.1353","14.272","81310864"
"20190828T","14.246","14.4833","14.154","14.3727","48579351"
"20190829T","14.6","14.8933","14.5333","14.7807","77746521"
"20190830T","15.2767","15.496","14.9475","15.0407","139916555"
"20190903T","14.9387","15.2633","14.8773","15.0007","80408150"
"20190904T","15.126","15.2307","14.6137","14.712","86530397"
"20190905T","14.8333","15.32","14.7233","15.3053","111049774"
"20190906T","15.1467","15.3093","15.0113","15.1633","62840549"
"20190909T","15.3333","15.584","15.282","15.4527","72039999"
"20190910T","15.3867","15.7027","15.2627","15.7027","73255673"
"20190911T","15.8253","16.5449","15.7333","16.4733","150641625"
"20190912T","16.5133","16.9","16.2933","16.3913","128718086"
"20190913T","16.464","16.5633","16.3243","16.3467","79697135"
"20190916T","16.4","16.4953","16.078","16.1873","70921405"
"20190917T","16.1647","16.3733","16.0247","16.3193","59203605"
"20190918T","16.3333","16.5446","16.158","16.2327","63421513"
"20190919T","16.4","16.5293","16.3227","16.44","73246988"
"20190920T","16.4327","16.4631","15.8773","16.0413","97593911"
"20190923T","16.0","16.3453","15.948","16.082","65874417"
"20190924T","16.1013","16.1327","14.8407","14.8807","194116553"
"20190925T","14.9707","15.2653","14.5573","15.2467","141664219"
"20190926T","15.3773","16.2207","15.16","16.1707","181181759"
"20190927T","16.1467","16.5807","15.9153","16.142","166847617"
"20190930T","16.2","16.2653","15.7407","16.058","89192370"
"20191001T","16.1","16.3967","15.942","16.3127","92944304"
"20191002T","16.2193","16.31","15.962","16.2087","93848173"
"20191003T","15.4573","15.632","14.952","15.5353","227066286"
"20191004T","15.4407","15.652","15.2047","15.4287","120317640"
"20191007T","15.32","15.904","15.2367","15.848","121304294"
"20191008T","15.7247","16.2627","15.6333","16.0033","130535005"
"20191009T","16.088","16.4863","16.0433","16.302","104025443"
"20191010T","16.352","16.6187","16.1053","16.316","94701208"
"20191011T","16.4767","16.7387","16.454","16.526","127322321"
"20191014T","16.5267","17.2367","16.4753","17.1307","153402823"
"20191015T","17.18","17.3333","16.9413","17.1927","97191791"
"20191016T","17.1593","17.4733","17.128","17.3167","100564495"
"20191017T","17.5","17.652","17.3447","17.4647","71685609"
"20191018T","17.38","17.52","17.0067","17.13","86304947"
"20191021T","17.222","17.3","16.6787","16.9","76621477"
"20191022T","16.9547","17.222","16.7233","17.0387","69376390"
"20191023T","16.9667","17.076","16.7567","16.9787","168242616"
"20191024T","19.8913","20.3287","19.28","19.9787","447288226"
"20191025T","19.848","22.0","19.7407","21.8753","450091125"
"20191028T","21.836","22.7227","21.5067","21.8473","283054208"
"20191029T","21.3327","21.62","20.9833","21.0813","190263955"
"20191030T","20.8667","21.2527","20.6647","21.0007","144627078"
"20191031T","20.8733","21.2667","20.8667","20.9947","76004302"
"20191101T","21.088","21.0987","20.6533","20.8873","95758887"
"20191104T","20.9867","21.4627","20.6173","21.1647","131805534"
"20191105T","21.308","21.5673","21.0745","21.148","104151203"
"20191106T","21.2","21.7813","20.9667","21.772","119113920"
"20191107T","21.9427","22.7667","21.868","22.3693","217010141"
"20191108T","22.3","22.4973","22.1667","22.476","91113269"
"20191111T","22.93","23.2793","22.8","23.006","149905260"
