"series","o","h","l","c","v"
"20230609T","249.07","252.42","242.02","244.4","200242400"
"20230612T","247.94","250.97","244.59","249.83","150740500"
"20230613T","253.51","259.68","251.34","258.71","162384300"
"20230614T","260.17","261.57","250.5","256.79","170575500"
"20230615T","248.4","258.95","247.29","255.9","160171200"
"20230616T","258.92","263.6","257.2091","260.54","167915600"
"20230620T","261.5","274.75","261.12","274.45","165611200"
"20230621T","275.13","276.99","257.78","259.46","211797100"
"20230622T","250.77","265.0","248.25","264.61","166875900"
"20230623T","259.29","262.45","252.8","256.6","177460800"
"20230626T","250.065","258.37","240.7","241.05","179990600"
"20230627T","243.24","250.3899","240.85","250.21","164968200"
"20230628T","249.7","259.88","248.89","256.24","159770800"
"20230629T","258.03","260.74","253.61","257.5","131283400"
"20230630T","260.6","264.45","259.89","261.77","112620800"
"20230703T","276.49","284.25","275.11","279.82","118999000"
"20230705T","278.82","283.85","277.6","282.48","131530900"
"20230706T","278.09","279.97","272.88","276.54","120707400"
"20230707T","278.43","280.78","273.77","274.43","113879200"
"20230710T","276.47","277.52","265.1","269.61","119425400"
"20230711T","268.65","270.9","266.37","269.79","91972360"
"20230712T","276.325","276.52","271.46","271.99","95672140"
"20230713T","274.59","279.45","270.6","277.9","112681500"
"20230714T","277.01","285.3","276.31","281.38","120062400"
"20230717T","286.625","292.23","283.57","290.38","131569600"
"20230718T","290.15","295.26","286.01","293.34","112434700"
"20230719T","296.04","299.29","289.5201","291.26","142355400"
"20230720T","279.56","280.93","261.2","262.9","175158300"
"20230721T","268.0","268.0","255.8","260.02","161796100"
"20230724T","255.85","269.85","254.12","269.06","137005000"
"20230725T","272.38","272.9","265.0","265.28","112757300"
"20230726T","263.25","268.04","261.75","264.35","95856180"
"20230727T","268.31","269.13","255.3","255.71","103697300"
"20230728T","259.86","267.25","258.2312","266.44","111446000"
"20230731T","267.48","269.08","263.78","267.43","84582170"
"20230801T","266.26","266.47","260.25","261.07","83645720"
"20230802T","255.57","259.52","250.49","254.11","101752900"
"20230803T","252.04","260.49","252.0","259.32","97829550"
"20230804T","260.97","264.77","253.11","253.86","99539910"
"20230807T","251.45","253.6511","242.76","251.45","111097900"
"20230808T","247.45","250.92","245.01","249.7","96642180"
"20230809T","250.87","251.1","241.9","242.19","101596300"
"20230810T","245.4","251.8","243.0","245.34","109498600"
"20230811T","241.77","243.79","238.02","242.65","99038640"
"20230814T","235.7","240.66","233.75","239.76","98595330"
"20230815T","238.73","240.5","232.61","232.96","88197600"
"20230816T","228.02","233.97","225.38","225.6","112484500"
"20230817T","226.06","226.74","218.83","219.22","120718400"
"20230818T","214.12","217.58","212.36","215.49","136276600"
"20230821T","221.5512","232.1343","220.58","231.28","135702700"
"20230822T","240.25","240.82","229.55","233.19","130597900"
"20230823T","229.34","238.98","229.29","236.86","101077600"
"20230824T","238.66","238.92","228.1801","230.04","99777430"
"20230825T","231.31","239.0","230.35","238.59","106612200"
"20230828T","242.58","244.38","235.35","238.82","107673700"
"20230829T","238.58","257.48","237.77","257.18","134047600"
"20230830T","254.2","260.51","250.59","256.9","121988400"
"20230831T","255.98","261.18","255.05","258.08","108861700"
"20230901T","257.26","259.0794","242.01","245.01","132541600"
"20230905T","245.0","258.0","244.86","256.49","129469600"
"20230906T","255.135","255.39","245.06","251.92","116959800"
"20230907T","245.07","252.81","243.265","251.49","115312900"
"20230908T","251.22","256.52","246.67","248.5","118559600"
"20230911T","264.27","274.85","260.61","273.58","174667900"
"20230912T","270.76","278.39","266.6","267.48","135999900"
"20230913T","270.07","274.98","268.1","271.3","111673700"
"20230914T","271.32","276.7094","270.42","276.04","107709800"
"20230915T","277.55","278.98","271.0","274.39","133692300"
"20230918T","271.16","271.44","263.7601","265.28","101543300"
"20230919T","264.35","267.85","261.2","266.5","103704000"
"20230920T","267.04","273.93","262.4606","262.59","122514600"
"20230921T","257.85","260.86","254.21","255.7","119951500"
"20230922T","257.4","257.7888","244.48","244.88","127524100"
"20230925T","243.38","247.1","238.31","246.99","104636600"
"20230926T","242.98","249.55","241.6601","244.12","101993600"
"20230927T","244.262","245.33","234.58","240.5","136597200"
"20230928T","240.02","247.55","238.65","246.38","117058900"
"20230929T","250.0","254.77","246.35","250.22","128522700"
"20231002T","244.81","254.2799","242.62","251.6","123810400"
"20231003T","248.61","250.02","244.45","246.53","101985300"
"20231004T","248.14","261.86","247.6","261.16","129721600"
"20231005T","260.0","263.6","256.25","260.05","119159200"
"20231006T","253.98","261.65","250.65","260.53","118121800"
"20231009T","255.31","261.36","252.05","259.67","101377900"
"20231010T","257.75","268.94","257.65","263.62","122656000"
"20231011T","266.2","268.6","260.9","262.99","103706300"
"20231012T","262.92","265.41","256.6307","258.87","111508100"
"20231013T","258.9","259.6","250.22","251.12","102296800"
"20231016T","250.05","255.3999","248.48","253.92","88917180"
"20231017T","250.1","257.183","247.08","254.85","93562910"
"20231018T","252.7","254.63","242.08","242.68","125147800"
"20231019T","225.95","230.61","216.78","220.11","170772700"
"20231020T","217.01","218.8606","210.42","211.99","138010100"
"20231023T","210.0","216.98","202.51","212.08","150683400"
"20231024T","216.5","222.05","214.11","216.52","118231100"
"20231025T","215.88","220.1","212.2","212.42","107065100"
"20231026T","211.32","214.8","204.88","205.76","115112600"
"20231027T","210.6","212.41","205.77","207.3","94881170"
"20231030T","209.28","210.88","194.67","197.36","136448200"
"20231031T","196.12","202.8","194.07","200.84","118068300"
"20231101T","204.04","205.99","197.85","205.66","121661700"
"20231102T","212.97","219.2","211.45","218.51","125987600"
"20231103T","221.15","226.3701","218.4","219.96","119534800"
"20231106T","223.98","226.32","215.0","219.27","117335800"
"20231107T","219.98","223.12","215.72","222.18","116900100"
"20231108T","223.15","224.15","217.64","222.11","106584800"
"20231109T","219.75","220.8","206.68","209.98","142110500"
"20231110T","210.03","215.38","205.69","214.65","131310100"
"20231113T","215.6","225.4","211.6101","223.71","140447600"
"20231114T","235.03","238.135","230.72","237.41","149771600"
"20231115T","239.29","246.7","236.45","242.84","150354000"
"20231116T","239.49","240.88","230.96","233.59","136816800"
"20231117T","232.0","237.39","226.54","234.3","142766200"
"20231120T","234.04","237.1","231.02","235.6","116562400"
"20231121T","235.04","243.62","233.34","241.2","122288000"
"20231122T","242.04","244.01","231.4","234.21","118117100"
"20231124T","233.75","238.75","232.33","235.45","65125200"
"20231127T","236.89","238.33","232.1","236.08","112031800"
"20231128T","236.68","247.0","234.01","246.72","148549900"
"20231129T","249.21","252.75","242.76","244.14","135401300"
"20231130T","245.14","245.22","236.91","240.08","132353200"
"20231201T","233.14","240.19","231.9","238.83","121331700"
"20231204T","235.75","239.3733","233.2902","235.58","104099800"
"20231205T","233.87","246.66","233.7","238.72","137971100"
"20231206T","242.92","246.57","239.1709","239.37","126436200"
"20231207T","241.55","244.08","236.98","242.64","107142300"
"20231208T","240.27","245.27","239.2701","243.84","103126800"
"20231211T","242.74","243.441","237.45","239.74","97913890"
"20231212T","238.55","238.99","233.87","237.01","95328310"
"20231213T","234.19","240.3","228.2","239.29","146286300"
"20231214T","241.22","253.88","240.79","251.05","160829200"
"20231215T","251.21","254.13","248.3","253.5","135932800"
"20231218T","253.78","258.74","251.36","252.08","116416500"
"20231219T","253.48","258.3399","253.01","257.22","106737400"
"20231220T","256.41","259.84","247.0","247.14","125097000"
"20231221T","251.9","254.7999","248.55","254.5","109594200"
"20231222T","256.76","258.22","251.37","252.54","93370090"
"20231226T","254.49","257.97","252.91","256.61","86892380"
"20231227T","258.35","263.34","257.52","261.44","106494400"
"20231228T","263.66","265.13","252.71","253.18","113619900"
"20231229T","255.1","255.19","247.43","248.48","100891600"
"20240102T","250.08","251.25","244.41","248.42","104654200"
"20240103T","244.98","245.68","236.32","238.45","121082600"
"20240104T","239.25","242.7","237.73","237.93","102629300"
"20240105T","236.86","240.1196","234.9001","237.49","92488940"
"20240108T","236.14","241.25","235.3","240.45","85166580"
"20240109T","238.11","238.9646","232.04","234.96","96705660"
"20240110T","235.1","235.5","231.29","233.94","91628500"
"20240111T","230.57","230.93","225.37","227.22","105873600"
"20240112T","220.08","225.34","217.1501","218.89","123043800"
"20240116T","215.1","223.49","212.18","219.91","115355000"
