"Date","Open","High","Low","Close","Volume"
"2010-12-29","1.8020","1.8673","1.7667","1.8487","49786925"
"2010-12-30","1.8467","1.8600","1.7587","1.7667","30614490"
"2010-12-31","1.7713","1.8167","1.7667","1.7753","21265294"
"2011-01-03","1.7893","1.8000","1.7267","1.7747","19243550"
"2011-01-04","1.7773","1.7967","1.7347","1.7780","17810556"
"2011-01-05","1.7653","1.7933","1.7460","1.7887","21698524"
"2011-01-06","1.7887","1.8667","1.7873","1.8587","30916740"
"2011-01-07","1.8667","1.9053","1.8600","1.8827","33710083"
"2011-01-10","1.8780","1.9120","1.8700","1.8967","20139170"
"2011-01-11","1.9060","1.9140","1.7947","1.7973","25565462"
"2011-01-12","1.8007","1.8266","1.7680","1.7973","14464823"
"2011-01-13","1.7973","1.7980","1.7440","1.7480","10851325"
"2011-01-14","1.7433","1.7720","1.7073","1.7167","17878806"
"2011-01-18","1.6987","1.7093","1.6500","1.7093","24302553"
"2011-01-19","1.6847","1.6980","1.5833","1.6020","35556192"
"2011-01-20","1.6020","1.6300","1.4913","1.5080","34197853"
"2011-01-21","1.5413","1.5727","1.5140","1.5360","18250056"
"2011-01-24","1.5687","1.6540","1.5487","1.6327","24672408"
"2011-01-25","1.6433","1.6593","1.6013","1.6453","19071845"
"2011-01-26","1.6473","1.6587","1.6067","1.6500","16197997"
"2011-01-27","1.6493","1.6720","1.6353","1.6613","13434818"
"2011-01-28","1.6587","1.6587","1.5833","1.6007","15724657"
"2011-01-31","1.6033","1.6080","1.5667","1.6067","12453204"
"2011-02-01","1.6207","1.6487","1.5693","1.5940","10616860"
"2011-02-02","1.6107","1.6120","1.5779","1.5960","8542076"
"2011-02-03","1.5880","1.5933","1.5433","1.5753","7639751"
"2011-02-04","1.5627","1.5780","1.5480","1.5640","8158751"
"2011-02-07","1.5507","1.5507","1.5253","1.5380","13425158"
"2011-02-08","1.5853","1.6833","1.5333","1.6327","52573219"
"2011-02-09","1.6087","1.6120","1.5193","1.5473","39533410"
"2011-02-10","1.5507","1.5760","1.5207","1.5477","12540294"
"2011-02-11","1.5500","1.5833","1.5293","1.5500","9517075"
"2011-02-14","1.5760","1.6093","1.5367","1.5387","19245050"
"2011-02-15","1.5340","1.5447","1.5040","1.5227","14173043"
"2011-02-16","1.5400","1.6647","1.5380","1.6487","61693559"
"2011-02-17","1.6420","1.6993","1.5700","1.5733","39272290"
"2011-02-18","1.5553","1.5660","1.5307","1.5453","35559282"
"2011-02-22","1.5253","1.5333","1.4520","1.4580","30968085"
"2011-02-23","1.4787","1.5000","1.4073","1.4553","24082608"
"2011-02-24","1.4520","1.5053","1.4333","1.5020","15828742"
"2011-02-25","1.5207","1.5900","1.5127","1.5740","20193845"
"2011-02-28","1.5827","1.6067","1.5667","1.5927","15766582"
"2011-03-01","1.6033","1.6213","1.5800","1.5960","16595242"
"2011-03-02","1.5880","1.6187","1.5817","1.6013","9949405"
"2011-03-03","1.6320","1.6527","1.6040","1.6240","9602095"
"2011-03-04","1.6320","1.6660","1.5853","1.6633","23701488"
"2011-03-07","1.6620","1.6933","1.6467","1.6627","30501450"
"2011-03-08","1.6400","1.6640","1.6000","1.6440","20997755"
"2011-03-09","1.6440","1.6660","1.6180","1.6480","13870808"
"2011-03-10","1.6293","1.6327","1.5820","1.6007","15254197"
"2011-03-11","1.5900","1.6167","1.5687","1.6047","13961903"
"2011-03-14","1.5880","1.6000","1.5467","1.5500","17489556"
"2011-03-15","1.4800","1.5307","1.4533","1.5300","19781330"
"2011-03-16","1.5240","1.5500","1.5127","1.5213","17372631"
"2011-03-17","1.5493","1.5620","1.5093","1.5207","13837553"
"2011-03-18","1.5460","1.5460","1.5007","1.5307","10317340"
"2011-03-21","1.5367","1.5367","1.5027","1.5153","6174747"
"2011-03-22","1.5153","1.5240","1.4667","1.4793","8742191"
"2011-03-23","1.4740","1.4847","1.4513","1.4807","6341892"
"2011-03-24","1.4760","1.4920","1.4653","1.4887","6932397"
"2011-03-25","1.4953","1.5333","1.4933","1.5167","8518826"
"2011-03-28","1.5133","1.5693","1.5033","1.5500","15870262"
"2011-03-29","1.5533","1.6000","1.5473","1.5947","11330859"
"2011-03-30","1.6073","1.6327","1.5340","1.5807","18349146"
"2011-03-31","1.7700","1.9140","1.7667","1.8500","172718764"
"2011-04-01","1.8300","1.8787","1.7713","1.7773","42971784"
"2011-04-04","1.7887","1.8000","1.6820","1.7220","39138385"
"2011-04-05","1.7267","1.8000","1.7127","1.7800","47712381"
"2011-04-06","1.7993","1.8007","1.7200","1.7660","19324445"
"2011-04-07","1.7900","1.8627","1.7633","1.8160","42136719"
"2011-04-08","1.8387","1.8400","1.7573","1.7660","29193765"
"2011-04-11","1.7647","1.7687","1.6680","1.6847","20537240"
"2011-04-12","1.6720","1.6807","1.6200","1.6433","20361005"
"2011-04-13","1.6753","1.7127","1.6540","1.6620","18171651"
"2011-04-14","1.6580","1.6853","1.6133","1.6760","14750723"
"2011-04-15","1.7100","1.7453","1.6940","1.7053","14151758"
"2011-04-18","1.6753","1.7080","1.6240","1.6687","15508057"
"2011-04-19","1.6840","1.6840","1.6433","1.6773","8225891"
"2011-04-20","1.7133","1.7393","1.6867","1.7167","12557529"
"2011-04-21","1.7233","1.7987","1.7060","1.7827","20773625"
"2011-04-25","1.7800","1.7820","1.7313","1.7593","12012579"
"2011-04-26","1.7773","1.8167","1.7540","1.7953","20585135"
"2011-04-27","1.7953","1.8240","1.7753","1.8053","14953508"
"2011-04-28","1.8047","1.8460","1.7813","1.8440","24660198"
"2011-04-29","1.8460","1.8580","1.8280","1.8400","10893595"
"2011-05-02","1.8400","1.8533","1.8040","1.8300","11768394"
"2011-05-03","1.8253","1.8260","1.7667","1.7913","13707968"
"2011-05-04","1.7853","1.8000","1.7167","1.7793","15462742"
"2011-05-05","1.8133","1.8293","1.7447","1.7627","18276726"
"2011-05-06","1.7933","1.8467","1.7747","1.8080","14724083"
"2011-05-09","1.8000","1.8667","1.7900","1.8607","13744538"
"2011-05-10","1.8827","1.9300","1.8607","1.8887","23028258"
"2011-05-11","1.8800","1.8866","1.7947","1.8047","14422163"
"2011-05-12","1.8047","1.8493","1.7767","1.8447","9414595"
"2011-05-13","1.8667","1.8793","1.8200","1.8367","9920500"
"2011-05-16","1.8660","1.8660","1.7700","1.7733","11334324"
"2011-05-17","1.8000","1.8000","1.7147","1.7307","18512331"
"2011-05-18","1.7400","1.7647","1.7013","1.7567","10941100"
"2011-05-19","1.8020","1.8960","1.7733","1.8800","39816985"
"2011-05-20","1.8840","1.8853","1.8233","1.8647","12636504"
"2011-05-23","1.8413","1.8413","1.7747","1.7880","12953214"
